Date,Open,High,Low,Close,Adj Close,Volume,Name
2021-12-01,22.90999984741211,23.030000686645508,22.040000915527344,22.059999465942383,21.44634437561035,8518200,KEY
2021-12-02,22.309999465942383,22.989999771118164,22.1299991607666,22.829999923706055,22.194927215576172,8062800,KEY
2021-12-03,22.889999389648438,23.020000457763672,22.200000762939453,22.40999984741211,21.78660774230957,9779800,KEY
2021-12-06,22.84000015258789,23.360000610351562,22.65999984741211,23.059999465942383,22.418527603149414,8455400,KEY
2021-12-07,23.200000762939453,23.559999465942383,23.100000381469727,23.209999084472656,22.564353942871094,8759800,KEY
2021-12-08,23.219999313354492,23.459999084472656,23.100000381469727,23.100000381469727,22.457414627075195,6288800,KEY
2021-12-09,22.979999542236328,23.219999313354492,22.790000915527344,22.989999771118164,22.350475311279297,5810600,KEY
2021-12-10,23.170000076293945,23.200000762939453,22.719999313354492,23.010000228881836,22.369918823242188,5177100,KEY
2021-12-13,22.90999984741211,22.950000762939453,22.43000030517578,22.450000762939453,21.825498580932617,8929500,KEY
2021-12-14,22.530000686645508,23.020000457763672,22.459999084472656,22.760000228881836,22.126874923706055,7643900,KEY
2021-12-15,23.709999084472656,23.709999084472656,22.809999465942383,23.110000610351562,22.46713638305664,11667900,KEY
2021-12-16,23.399999618530273,23.8799991607666,23.15999984741211,23.31999969482422,22.671295166015625,8581400,KEY
2021-12-17,23.149999618530273,23.25,22.479999542236328,22.510000228881836,21.883827209472656,19772200,KEY
2021-12-20,22.190000534057617,22.219999313354492,21.65999984741211,22.06999969482422,21.456066131591797,10854700,KEY
2021-12-21,22.3700008392334,22.799999237060547,22.360000610351562,22.690000534057617,22.058820724487305,6662200,KEY
2021-12-22,22.610000610351562,22.809999465942383,22.540000915527344,22.65999984741211,22.029653549194336,4748400,KEY
2021-12-23,22.829999923706055,23.040000915527344,22.65999984741211,22.739999771118164,22.10742950439453,4851200,KEY
2021-12-27,22.889999389648438,23.09000015258789,22.540000915527344,23.09000015258789,22.44769287109375,4040300,KEY
2021-12-28,22.940000534057617,23.290000915527344,22.940000534057617,23.190000534057617,22.544912338256836,3964000,KEY
2021-12-29,23.280000686645508,23.450000762939453,23.100000381469727,23.299999237060547,22.651851654052734,3667200,KEY
2021-12-30,23.40999984741211,23.559999465942383,23.170000076293945,23.190000534057617,22.544912338256836,3132300,KEY
2021-12-31,23.110000610351562,23.299999237060547,23.079999923706055,23.1299991607666,22.4865779876709,3397000,KEY
2022-01-03,23.450000762939453,23.809999465942383,23.420000076293945,23.579999923706055,22.924062728881836,6834300,KEY
2022-01-04,23.950000762939453,24.8700008392334,23.889999389648438,24.81999969482422,24.129566192626953,8397900,KEY
2022-01-05,25.0,25.270000457763672,24.65999984741211,24.670000076293945,23.983741760253906,10080400,KEY
2022-01-06,25.239999771118164,26.030000686645508,25.100000381469727,25.93000030517578,25.208690643310547,9425800,KEY
2022-01-07,26.0,26.450000762939453,25.860000610351562,26.350000381469727,25.617008209228516,11174500,KEY
2022-01-10,26.649999618530273,26.739999771118164,25.940000534057617,26.329999923706055,25.597564697265625,9951900,KEY
2022-01-11,26.510000228881836,26.540000915527344,25.979999542236328,26.43000030517578,25.694782257080078,7982800,KEY
2022-01-12,26.5,26.6299991607666,26.239999771118164,26.399999618530273,25.665616989135742,10741600,KEY
2022-01-13,26.530000686645508,26.889999389648438,26.450000762939453,26.700000762939453,25.957273483276367,10551600,KEY
2022-01-14,26.239999771118164,27.020000457763672,26.010000228881836,27.010000228881836,26.258647918701172,9869500,KEY
2022-01-18,27.149999618530273,27.170000076293945,26.420000076293945,26.600000381469727,25.86005401611328,6643800,KEY
2022-01-19,26.600000381469727,26.65999984741211,25.59000015258789,25.59000015258789,24.878150939941406,10692100,KEY
2022-01-20,25.75,26.049999237060547,25.059999465942383,25.1299991607666,24.430944442749023,10669000,KEY
2022-01-21,25.010000228881836,25.459999084472656,24.65999984741211,24.790000915527344,24.100404739379883,13063000,KEY
2022-01-24,24.350000381469727,25.09000015258789,23.920000076293945,24.989999771118164,24.29483985900879,11456600,KEY
2022-01-25,24.790000915527344,25.1200008392334,24.1299991607666,24.899999618530273,24.20734214782715,7949800,KEY
2022-01-26,25.139999389648438,25.459999084472656,24.75,25.239999771118164,24.537885665893555,13971100,KEY
2022-01-27,25.399999618530273,25.790000915527344,24.760000228881836,24.940000534057617,24.246232986450195,9332300,KEY
2022-01-28,24.8700008392334,25.1299991607666,24.520000457763672,25.1299991607666,24.430944442749023,8776500,KEY
2022-01-31,24.81999969482422,25.209999084472656,24.520000457763672,25.059999465942383,24.362892150878906,8375500,KEY
2022-02-01,25.030000686645508,25.610000610351562,24.8799991607666,25.549999237060547,24.839262008666992,6372000,KEY
2022-02-02,25.5,25.860000610351562,25.389999389648438,25.809999465942383,25.092029571533203,5676700,KEY
2022-02-03,25.950000762939453,26.139999389648438,25.56999969482422,25.610000610351562,24.897594451904297,6388300,KEY
2022-02-04,25.75,26.350000381469727,25.649999618530273,26.170000076293945,25.4420166015625,6724500,KEY
2022-02-07,26.170000076293945,26.540000915527344,26.049999237060547,26.40999984741211,25.675338745117188,7508600,KEY
2022-02-08,26.93000030517578,27.030000686645508,26.59000015258789,26.950000762939453,26.200319290161133,11143500,KEY
2022-02-09,26.899999618530273,26.950000762939453,26.6299991607666,26.700000762939453,25.957273483276367,6496500,KEY
2022-02-10,26.709999084472656,27.100000381469727,26.420000076293945,26.549999237060547,25.811443328857422,8221500,KEY
2022-02-11,26.360000610351562,26.920000076293945,26.020000457763672,26.219999313354492,25.490623474121094,11342100,KEY
2022-02-14,26.31999969482422,26.469999313354492,25.690000534057617,25.90999984741211,25.189247131347656,8755800,KEY
2022-02-15,26.18000030517578,26.600000381469727,26.139999389648438,26.530000686645508,25.792001724243164,6272200,KEY
2022-02-16,26.299999237060547,26.81999969482422,26.260000228881836,26.610000610351562,25.86977767944336,5209000,KEY
2022-02-17,26.299999237060547,26.360000610351562,25.6200008392334,25.729999542236328,25.014253616333008,6181400,KEY
2022-02-18,25.649999618530273,26.0,25.549999237060547,25.639999389648438,24.926759719848633,7210700,KEY
2022-02-22,25.65999984741211,25.81999969482422,25.3700008392334,25.59000015258789,24.878150939941406,7548500,KEY
2022-02-23,25.75,25.860000610351562,24.549999237060547,24.670000076293945,23.983741760253906,8771800,KEY
2022-02-24,23.850000381469727,24.190000534057617,23.280000686645508,24.1299991607666,23.45876121520996,12517100,KEY
2022-02-25,24.34000015258789,25.34000015258789,24.290000915527344,25.299999237060547,24.596216201782227,8884300,KEY
2022-02-28,24.239999771118164,25.06999969482422,24.239999771118164,25.06999969482422,24.561927795410156,11545700,KEY
